   9.85000,  15.10000
   9.69900,  15.19850
   9.54702,  15.29549
   9.39406,  15.39096
   9.24015,  15.48490
   9.08530,  15.57730
   8.92953,  15.66816
   8.77285,  15.75745
   8.61527,  15.84518
   8.45682,  15.93133
   8.29751,  16.01590
   8.13735,  16.09888
   7.97636,  16.18025
   7.81456,  16.26001
   7.65196,  16.33816
   7.48857,  16.41468
   7.32443,  16.48956
   7.15953,  16.56281
   6.99390,  16.63441
   6.82756,  16.70434
   6.66052,  16.77262
   6.49279,  16.83922
   6.32440,  16.90415
   6.15536,  16.96740
   5.98568,  17.02895
   5.81539,  17.08881
   5.64451,  17.14696
   5.47304,  17.20340
   5.30100,  17.25813
   5.12842,  17.31114
   4.95531,  17.36243
   4.78168,  17.41198
   4.60756,  17.45980
   4.43297,  17.50587
   4.25791,  17.55021
   4.08241,  17.59278
   3.90648,  17.63361
   3.73014,  17.67267
   3.55342,  17.70998
   3.37632,  17.74551
   3.19886,  17.77927
   3.02107,  17.81126
   2.84296,  17.84147
   2.66454,  17.86990
   2.48584,  17.89655
   2.30688,  17.92141
   2.12766,  17.94448
   1.94822,  17.96575
   1.76856,  17.98523
   1.58871,  18.00292
   1.40868,  18.01880
   1.22849,  18.03289
   1.04816,  18.04518
   0.86771,  18.05566
   0.68715,  18.06433
   0.50651,  18.07121
   0.32580,  18.07627
   0.14503,  18.07953
  -0.03576,  18.08098
  -0.21657,  18.08062
  -0.39738,  18.07846
  -0.57816,  18.07449
  -0.75891,  18.06870
  -0.93959,  18.06112
  -1.12020,  18.05172
  -1.30072,  18.04052
  -1.48113,  18.02751
  -1.66140,  18.01270
  -1.84153,  17.99608
  -2.02149,  17.97767
  -2.20127,  17.95745
  -2.38084,  17.93544
  -2.56019,  17.91163
  -2.73931,  17.88603
  -2.91817,  17.85864
  -3.09676,  17.82946
  -3.27505,  17.79849
  -3.45304,  17.76574
  -3.63070,  17.73121
  -3.80801,  17.69490
  -3.98496,  17.65682
  -4.16152,  17.61697
  -4.33769,  17.57536
  -4.51345,  17.53198
  -4.68877,  17.48685
  -4.86364,  17.43996
  -5.03804,  17.39132
  -5.21195,  17.34094
  -5.38536,  17.28882
  -5.55825,  17.23497
  -5.73060,  17.17938
  -5.90239,  17.12208
  -6.07361,  17.06305
  -6.24424,  17.00232
  -6.41426,  16.93987
  -6.58366,  16.87573
  -6.75242,  16.80990
  -6.92052,  16.74237
  -7.08794,  16.67317
  -7.25467,  16.60229
  -7.42070,  16.52974
  -7.58599,  16.45554
  -7.75055,  16.37968
  -7.91435,  16.30217
  -8.07737,  16.22303
  -8.23960,  16.14225
  -8.40102,  16.05986
  -8.56162,  15.97585
  -8.72138,  15.89023
  -8.88028,  15.80302
  -9.03831,  15.71422
  -9.19545,  15.62383
  -9.35169,  15.53188
  -9.50701,  15.43836
  -9.66140,  15.34329
  -9.81483,  15.24668
  -9.96729,  15.14853
 -10.11878,  15.04886
 -10.26927,  14.94767
 -10.41875,  14.84498
 -10.56720,  14.74079
 -10.71460,  14.63512
 -10.86095,  14.52797
 -11.00623,  14.41936
 -11.15043,  14.30930
 -11.29352,  14.19779
 -11.43550,  14.08486
 -11.57635,  13.97050
 -11.71605,  13.85474
 -11.85460,  13.73758
 -11.99197,  13.61903
 -12.12817,  13.49911
 -12.26316,  13.37783
 -12.39693,  13.25520
 -12.52949,  13.13123
 -12.66080,  13.00594
 -12.79086,  12.87933
 -12.91965,  12.75142
