    3.1000,    2.0000,0
    3.1995,    2.0100,0
    3.2975,    2.0299,0
    3.3930,    2.0594,0
    3.4851,    2.0983,0
    3.5729,    2.1463,0
    3.6554,    2.2028,0
    3.7319,    2.2672,0
    3.8016,    2.3389,0
    3.8638,    2.4172,0
    3.9178,    2.5014,0
    3.9631,    2.5905,0
    3.9994,    2.6837,0
    4.0261,    2.7801,0
    4.0431,    2.8786,0
    4.0502,    2.9784,0
    4.0473,    3.0783,0
    4.0344,    3.1775,0
    4.0117,    3.2749,0
    3.9793,    3.3695,0
    3.9377,    3.4604,0
    3.8872,    3.5468,0
    3.8284,    3.6276,0
    3.7618,    3.7022,0
    3.6880,    3.7697,0
    3.6079,    3.8296,0
    3.5222,    3.8811,0
    3.4318,    3.9239,0
    3.3376,    3.9574,0
    3.2405,    3.9813,0
    3.1415,    3.9954,0
    3.0416,    3.9995,0
    2.9418,    3.9937,0
    2.8430,    3.9779,0
    2.7463,    3.9524,0
    2.6527,    3.9173,0
    2.5630,    3.8731,0
    2.4782,    3.8201,0
    2.3991,    3.7589,0
    2.3265,    3.6901,0
    2.2611,    3.6144,0
    2.2037,    3.5326,0
    2.1546,    3.4454,0
    2.1146,    3.3538,0
    2.0838,    3.2587,0
    2.0627,    3.1609,0
    2.0515,    3.0615,0
    2.0503,    2.9615,0
    2.0590,    2.8619,0
    2.0777,    2.7637,0
    2.1061,    2.6678,0
    2.1439,    2.5752,0
    2.1907,    2.4869,0
    2.2461,    2.4036,0
    2.3096,    2.3264,0
    2.3805,    2.2558,0
    2.4580,    2.1927,0
    2.5415,    2.1376,0
    2.6301,    2.0912,0
    2.7228,    2.0538,0
    2.8188,    2.0258,0
    2.9172,    2.0076,0
    3.0168,    1.9993,0
    3.1168,    2.0010,0
    3.2161,    2.0126,0
    3.3138,    2.0341,0
    3.4088,    2.0653,0
    3.5002,    2.1058,0
    3.5872,    2.1552,0
    3.6687,    2.2130,0
    3.7441,    2.2787,0
    3.8126,    2.3516,0
    3.8734,    2.4310,0
    3.9260,    2.5160,0
    3.9699,    2.6059,0
    4.0046,    2.6997,0
    4.0297,    2.7965,0
    4.0450,    2.8953,0
    4.0504,    2.9952,0
    4.0458,    3.0951,0
    4.0313,    3.1940,0
    4.0069,    3.2910,0
    3.9730,    3.3851,0
    3.9299,    3.4753,0
    3.8779,    3.5608,0
    3.8177,    3.6406,0
    3.7499,    3.7140,0
    3.6750,    3.7803,0
    3.5939,    3.8388,0
    3.5073,    3.8889,0
    3.4162,    3.9301,0
    3.3214,    3.9621,0
    3.2240,    3.9843,0
    3.1247,    3.9968,0
    3.0248,    3.9993,0
    2.9251,    3.9917,0
    2.8266,    3.9743,0
    2.7303,    3.9471,0
    2.6373,    3.9105,0
    2.5484,    3.8647,0
    2.4645,    3.8103,0
    2.3864,    3.7478,0
    2.3150,    3.6778,0
    2.2509,    3.6011,0
    2.1948,    3.5183,0
    2.1473,    3.4303,0
    2.1087,    3.3380,0
    2.0796,    3.2424,0
    2.0602,    3.1443,0
    2.0506,    3.0447,0
    2.0511,    2.9447,0
    2.0615,    2.8453,0
    2.0818,    2.7474,0
    2.1118,    2.6520,0
    2.1511,    2.5600,0
    2.1994,    2.4725,0
    2.2563,    2.3902,0
    2.3210,    2.3140,0
    2.3931,    2.2447,0
    2.4717,    2.1828,0
    2.5561,    2.1292,0
    2.6454,    2.0842,0
    2.7388,    2.0484,0
    2.8352,    2.0221,0
    2.9338,    2.0055,0
    3.0336,    1.9989,0
    3.1336,    2.0022,0
    3.2327,    2.0156,0
    3.3300,    2.0387,0
    3.4244,    2.0715,0
    3.5152,    2.1135,0
    3.6013,    2.1643,0
    3.6819,    2.2236,0
    3.7562,    2.2905,0
    3.8234,    2.3646,0
    3.8829,    2.4449,0
    3.9340,    2.5308,0
    3.9764,    2.6214,0
